Item Full Name,Item Nickname,Target Price,URL
Rana Four Cheese Ravioli,Rana,6,https://www.coles.com.au/product/rana-four-cheese-ravioli-325g-3091159
Sirena Lemon & Pepper Tuna,Sirena,2,https://www.coles.com.au/product/sirena-lemon-and-pepper-tuna-95g-9658379
McCain Frozen Cheese & Bacon Pizza Slices 6 pack,Pizza Slices,5,https://www.coles.com.au/product/mccain-frozen-cheese-and-bacon-pizza-slices-6-pack-600g-8544829
Lynx Aerosol Black Antiperspirant,Lynx Black Deoderant,5,https://www.coles.com.au/product/lynx-aerosol-black-antiperspirant-165ml-3722420
Lynx Men Body Wash Black,Lynx Black Body Wash,4,https://www.coles.com.au/product/lynx-men-body-wash-black-400ml-2225249
Palmolive Naturals Body Wash Pomegranate Mango,Palmolive Body Wash,6,https://www.coles.com.au/product/palmolive-naturals-body-wash-pomegranate-mango-1l-8180212
John West Tempters Tuna Chunks in Springwater,John West Tuna,1.5,https://www.coles.com.au/product/john-west-tempters-tuna-chunks-in-springwater-95g-7532777
Sunrice Jasmine Rice Cup 2 pack,Rice Cups,2,https://www.coles.com.au/product/sunrice-jasmine-rice-cup-2-pack-250g-8478509
Nivea Black & White Clear Invisible Aerosol Antiperspirant Deodorant,Nivea Deoderant,5,https://www.coles.com.au/product/nivea-black-and-white-clear-invisible-aerosol-antiperspirant-deodorant-250ml-1996403
Red Rock Deli Sea Salt & Bal Vinegar Potato Chips,Salt & Vinegar Chips,3.5,https://www.coles.com.au/product/red-rock-deli-sea-salt-and-bal-vinegar-potato-chips-165g-1786171
Darrell Lea Raspberry Twists,Raspberry Liquorice,3,https://www.coles.com.au/product/darrell-lea-raspberry-twists-280g-3448839
Big Tex Beef Jerky Original,Beef Jerky,6,https://www.coles.com.au/product/big-tex-beef-jerky-original-180g-3988950
Nudie Pulp Oranges Juice Chilled,Nudie OJ,4.5,https://www.coles.com.au/product/nudie-pulp-oranges-juice-chilled-2l-7895759
Coles Tasty Light Cheese Slices 24 Pack,Light Chees Slices,5,https://www.coles.com.au/product/coles-tasty-light-cheese-slices-24-pack-500g-5433027
Gillette Fusion Razor Blades,Gillette Razor Blades,20,https://www.coles.com.au/product/gillette-fusion-razor-blades-4-pack-4358753
